dataset,experiment,environment,label,spp,Country,Region,Region_4,Lat,Lon,Alt,Pop_Ind,Pop,Ind,block,treatment,germDate,survival,flDate_1,flDate_2,no_fl ,height,no_stem,no_buds,frDate_1,SowDate
Durham,vernalisation,ASK,circle,bienne,Spain,Spain South A,Spain South,36.80044444,-5.392583333,624,1_A,1,A,6_1,Control,09/05/2019,1,30/08/2019,06/09/2019,2,29.2,9,1,01/10/2019,30/04/2019
Durham,vernalisation,ASK,circle,bienne,Spain,Spain South A,Spain South,36.80044444,-5.392583333,624,1_C,1,C,1,Control,07/06/2019,1,13/10/2019,16/10/2019,1,39,12,1,03/12/2019,30/04/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain South A,Spain South,36.80044444,-5.392583333,624,1_C,1,C,7,Control,05/02/2019,1,09/06/2019,10/06/2019,2,34.5,7,2,01/07/2019,23/01/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain South A,Spain South,37.25852778,-6.097222222,12,5_4,5,4,3,Control,05/02/2019,1,31/03/2019,18/04/2019,1,20,3,1,17/05/2019,23/01/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain South A,Spain South,37.25852778,-6.097222222,12,5_10,5,10,8,Control,05/02/2019,1,19/04/2019,20/04/2019,2,19,4,0,20/05/2019,23/01/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain South B,Spain South,37.70194444,-5.832055556,128,8_12,8,12,3,Control,05/02/2019,1,26/08/2019,27/08/2019,2,34.6,9,4,16/09/2019,23/01/2019
Durham,vernalisation,ASK,circle,bienne,Spain,Spain South B,Spain South,37.70194444,-5.832055556,128,8_12,8,12,7,Control,24/05/2019,1,24/11/2019,25/11/2019,1,47,13,12,NA,30/04/2019
Durham,vernalisation,ASK,circle,bienne,Spain,Spain South B,Spain South,37.70194444,-5.832055556,128,8_16,8,16,3_2,Control,09/05/2019,1,15/10/2019,NA,1,35.6,10,1,NA,30/04/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain South B,Spain South,37.8085,-6.428805556,446,9_23,9,23,3,Control,05/02/2019,1,21/05/2019,NA,NA,36.5,13,0,26/06/2019,23/01/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain South B,Spain South,37.8085,-6.428805556,446,9_27,9,27,2,Control,05/02/2019,1,01/04/2019,11/04/2019,1,29.3,1,0,03/05/2019,23/01/2019
Durham,vernalisation,ASK,circle,bienne,Spain,Spain South B,Spain South,37.8085,-6.428805556,446,9_27,9,27,8_1,Control,13/05/2019,1,14/07/2019,15/07/2019,2,33.5,5,4,29/07/2019,30/04/2019
Durham,vernalisation,ASK,circle,bienne,Spain,Spain South B,Spain South,37.8085,-6.428805556,446,9_34,9,34,2,Control,10/05/2019,1,05/09/2019,NA,1,32,2,1,NA,30/04/2019
Durham,vernalisation,ASK,circle,bienne,Spain,Spain South B,Spain South,37.88211111,-6.617805556,519,10_15,10,15,1,Control,10/05/2019,1,10/10/2019,16/11/2019,3,27.5,1,0,NA,30/04/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain South B,Spain South,37.88211111,-6.617805556,519,10_15,10,15,3,Control,05/02/2019,1,30/04/2019,16/11/2019,3,18.5,3,0,NA,23/01/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain South B,Spain South,37.88211111,-6.617805556,519,10_26,10,26,4,Control,05/02/2019,1,31/05/2019,09/06/2019,2,38,7,0,25/07/2019,23/01/2019
Durham,vernalisation,ASK,circle,bienne,Spain,Spain South B,Spain South,37.88211111,-6.617805556,519,10_26,10,26,6_1,Control,10/05/2019,1,18/08/2019,18/08/2019,2,29.5,6,1,NA,30/04/2019
Durham,vernalisation,ASK,circle,bienne,Spain,Spain South B,Spain South,37.88211111,-6.617805556,519,10_27,10,27,6,Control,09/05/2019,1,04/09/2019,NA,1,32,5,3,01/10/2019,30/04/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain South B,Spain South,37.88211111,-6.617805556,519,10_27,10,27,7,Control,05/02/2019,1,02/06/2019,NA,1,31,5,0,01/07/2019,23/01/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain South B,Spain South,37.88211111,-6.617805556,519,10_30,10,30,4,Control,05/02/2019,1,29/04/2019,NA,1,29,8,0,20/05/2019,23/01/2019
